id,lat,lon
12760062921,38.8284,-97.6252
12769551538,39.0652,-96.3917
12769552366,38.8557,-97.5942
12770300109,39.0586,-95.9393
12770622815,37.63,-97.3524
12770627280,37.6774,-97.3528
12770638346,37.7089,-97.3775
12770638404,37.6931,-97.3265
12770955842,39.2512,-94.6499
12797486761,38.8271,-97.5776
12815179500,37.6562,-95.4525
12815613259,37.6456,-95.4786
12835119998,39.0426,-96.8296
12835119999,39.0428,-96.8261
12835120000,39.0283,-96.8021
12835133101,39.0218,-96.8248
12874028813,39.0009,-96.8621
12878042874,39.0429,-96.8253
12878042876,39.1557,-96.6446
12878042877,39.1468,-96.6498
12878042878,39.1476,-96.6497
12878042879,39.0218,-96.8162
12878042881,39.0472,-96.8395
12878042882,39.0155,-96.8723
12878042883,39.03,-96.8637
12880146520,39.0219,-96.8244
12880146521,39.0217,-96.8171
12894856687,39.0143,-94.6895
12894856688,39.0143,-94.6895
12897749927,39.2107,-94.6604
12908517953,37.6445,-94.8323
12908563138,37.4177,-95.6946
12908574875,36.9987,-94.7409
12908576992,36.9985,-94.7406
12908580050,36.9985,-94.7408
12908639211,37.2232,-95.6848
12915972959,37.6821,-97.2448
12954475850,39.2093,-96.2582
12954479526,39.2133,-96.2365
12981488293,37.7379,-97.4188
12981488294,37.7318,-97.4624
12981494583,37.7445,-97.42
12997622654,39.0466,-96.8696
13006617715,39.0409,-96.8373
13032608036,39.1877,-94.6135
13049310930,37.4287,-94.701
13049317210,37.3966,-94.7184
13049317247,37.3963,-94.7047
13049318237,37.0071,-95.616
13049323775,37.4551,-94.7048
13049324972,37.445,-94.6862
13049328416,37.4288,-94.7002
13049330596,37.412,-94.8326
13049331881,37.4265,-94.6865
13049335486,36.9987,-94.8308
13049336041,37.4265,-94.6867
13049336043,37.4283,-94.7005
13049338559,37.4286,-94.7002
13049341410,37.4692,-94.6866
13049347722,37.4405,-94.6842
13049359964,36.9987,-94.8309
13057057789,37.4548,-94.6687
13057101766,37.3818,-94.6743
13058779951,37.6647,-97.4986
13063850630,38.9311,-94.6673
13063850631,38.9331,-94.668
13063900151,38.3616,-98.81
13063900152,38.3456,-98.8129
13063900153,38.3456,-98.8126
13063911626,38.2642,-98.9816
13063911627,38.265,-98.9803
13063912718,38.1895,-99.3101
13063922429,38.5932,-98.4124
13064024024,38.9167,-94.6396
13064024025,38.9201,-94.6399
13064025275,38.8871,-94.649
13064058937,38.9273,-94.6581
13064072862,38.9131,-94.6082
13067938364,37.4111,-94.6692
13067950789,37.8173,-96.8989
13068000481,37.8168,-96.8384
13068005110,37.8171,-96.8987
13068053942,36.9993,-97.0456
13070146762,38.5224,-98.5399
13070212901,38.0565,-98.6005
